key,value
Cullen Rutherford,12118
Dorian Pavus,10552
Varric Tethras,10399
Iron Bull,7972
Cassandra Pentaghast,7203
Anders (Dragon Age),6751
Fenris (Dragon Age),6630
Female Lavellan,6430
Solas,6376
Leliana (Dragon Age),6184
Female Hawke,5924
Female Inquisitor (Dragon Age),5631
Alistair (Dragon Age),5203
Josephine Montilyet,4912
Male Hawke,4556
Sera (Dragon Age),4243
Female Trevelyan,4118
Isabela (Dragon Age),3968
Cole (Dragon Age),3938
Zevran Arainai,3768
Merrill (Dragon Age),3126
Vivienne (Dragon Age),2614
Morrigan (Dragon Age),2373
Female Cousland,2237
Aveline Vallen,2219
Carver Hawke,2139
Male Lavellan,1947
Blackwall,1944
Bethany Hawke,1807
Hawke (Dragon Age),1801
Sebastian Vael,1782
Male Inquisitor (Dragon Age),1773
"Cremisius ""Krem"" Aclassi",1735
Anders,1624
Female Warden (Dragon Age),1582
Lavellan,1567
Solas (Dragon Age),1530
Male Trevelyan,1470
Fenris,1449
Blackwall | Thom Rainier,1396
Original Characters,1264
Inquisitor (Dragon Age),1262
Nathaniel Howe,1207
Female Amell,1204
Original Female Character(s),1163
Cullen (Dragon Age),1139
Female Adaar,1026
Female Mage Lavellan,972
Wynne,958
Female Tabris,938
Justice (Dragon Age),909
Sten (Dragon Age),885
Female Mahariel,882
Oghren,881
Female Surana,870
Leandra Hawke,861
Female Mage Trevelyan,855
Female Mage Inquisitor,836
Leliana,826
Dog (Dragon Age),823
Female Mage Hawke,751
Loghain Mac Tir,733
Original Male Character(s),692
Fen'Harel | Solas,672
Anora Mac Tir,642
Fen'Harel,621
King Alistair (Dragon Age),613
Isabela,590
Hawke,562
Male Cousland,561
Male Mahariel,559
Warden Alistair (Dragon Age),538
Alistair,526
Female Cadash,520
Duncan (Dragon Age),510
Male Adaar,505
Lace Harding,479
Varric,476
Trevelyan (Dragon Age),475
Dagna (Dragon Age),450
Merrill,449
Warden (Dragon Age),448
Male Mage Hawke,437
Meredith Stannard,435
Female Brosca,434
Male Warden (Dragon Age),422
Sera,412
Cole,401
Danarius,396
Male Surana,383
Teagan Guerrin,379
Felix Alexius,378
Fergus Cousland,357
Flemeth,351
Female Aeducan,342
Shale (Dragon Age),340
Abelas,334
Garrett Hawke,331
Jowan,331
Female Inquisitor,329
Female Rogue Hawke,321
Donnic Hendyr,317
Sigrun (Dragon Age),313
Female Rogue Inquisitor,312
Samson (Dragon Age),309
Alistair Theirin,304
Cullen,304
Morrigan,300
Blackwall (Dragon Age),295
Female Rogue Lavellan,291
Male Amell,288
Corypheus,275
Wynne (Dragon Age),273
The Iron Bull,268
Velanna,267
Karl Thekla,266
Malcolm Hawke,263
Orsino (Dragon Age),261
Dalish (Dragon Age: Inquisition),257
Halward Pavus,254
Raleigh Samson,248
Mythal,248
Female Elf Warden (Dragon Age),246
Cousland,244
Sten,240
Original Character,236
Gereon Alexius,231
Eamon Guerrin,228
Kieran (Dragon Age),227
Tamlen,223
Rylen (Dragon Age),221
Bodahn Feddic,221
Mage Hawke,221
Marian Hawke,220
Bull's Chargers (Characters),220
Cailan Theirin,219
Mahariel,208
Fiona (Dragon Age),207
Orana,207
Male Tabris,203
Bull's Chargers - Character,198
Gamlen Amell,197
Mage Lavellan,196
Inquisitor,192
OC - Character,185
Dorian (Dragon Age),182
Surana,180
Cullen Rutherford's Family,180
Zevran,176
Irving (Dragon Age),173
Dorian,173
Adaar,173
Mia Rutherford,168
Arishok,168
Trevelyan,161
Male Mage Lavellan,158
Bryce Cousland,155
Skinner (Dragon Age),153
Female Rogue Trevelyan,151
Justice Anders,151
Female Warrior Hawke,148
Amell,148
Lavellan (Dragon Age),147
The Inquisition (Dragon Age),147
Maevaris Tilani,147
Female Mage Warden,146
Mage Trevelyan,145
Female Mage Adaar,144
Eleanor Cousland,141
Original Child Character(s),141
Oghren (Dragon Age),140
Rendon Howe,140
Aveline,139
Original Non-Inquisitor Trevelyan(s),136
Justice - Character,135
Stitches (Dragon Age),135
Maric Theirin,134
Briala (Dragon Age),132
Ser Pounce-a-Lot,131
Celene Valmont,130
Male Cadash,130
Original Non-Inquisitor Lavellan(s),130
Tabris,130
Male Mage Trevelyan,130
Varania,129
Mabari (Dragon Age),127
Deshanna Istimaethoriel Lavellan,127
Other Character Tags to Be Added,126
Delrin Barris,125
Greagoir (Dragon Age),125
Sandal,125
Thom Rainier,124
Jim (Dragon Age),119
Cullen Rutherford's Mabari,119
