date,value
19 Sep 2019,4
18 Sep 2019,10
17 Sep 2019,14
16 Sep 2019,15
15 Sep 2019,14
14 Sep 2019,8
13 Sep 2019,11
12 Sep 2019,5
11 Sep 2019,13
10 Sep 2019,6
09 Sep 2019,21
08 Sep 2019,13
07 Sep 2019,10
06 Sep 2019,13
05 Sep 2019,16
04 Sep 2019,18
03 Sep 2019,22
02 Sep 2019,20
01 Sep 2019,22
31 Aug 2019,26
30 Aug 2019,17
29 Aug 2019,9
28 Aug 2019,10
27 Aug 2019,12
26 Aug 2019,12
25 Aug 2019,15
24 Aug 2019,16
23 Aug 2019,18
22 Aug 2019,11
21 Aug 2019,14
20 Aug 2019,17
19 Aug 2019,23
18 Aug 2019,8
17 Aug 2019,18
16 Aug 2019,5
15 Aug 2019,14
14 Aug 2019,12
13 Aug 2019,20
12 Aug 2019,7
11 Aug 2019,13
10 Aug 2019,12
09 Aug 2019,11
08 Aug 2019,13
07 Aug 2019,11
06 Aug 2019,18
05 Aug 2019,18
04 Aug 2019,18
03 Aug 2019,15
02 Aug 2019,16
01 Aug 2019,10
31 Jul 2019,11
30 Jul 2019,11
29 Jul 2019,11
28 Jul 2019,13
27 Jul 2019,20
26 Jul 2019,12
25 Jul 2019,11
24 Jul 2019,7
23 Jul 2019,12
22 Jul 2019,10
21 Jul 2019,7
20 Jul 2019,10
19 Jul 2019,16
18 Jul 2019,12
17 Jul 2019,14
16 Jul 2019,16
15 Jul 2019,8
14 Jul 2019,10
13 Jul 2019,9
12 Jul 2019,11
11 Jul 2019,4
10 Jul 2019,15
09 Jul 2019,7
08 Jul 2019,10
07 Jul 2019,14
06 Jul 2019,11
05 Jul 2019,8
04 Jul 2019,16
03 Jul 2019,15
02 Jul 2019,8
01 Jul 2019,8
30 Jun 2019,10
29 Jun 2019,10
28 Jun 2019,9
27 Jun 2019,9
26 Jun 2019,11
25 Jun 2019,15
24 Jun 2019,11
23 Jun 2019,20
22 Jun 2019,14
21 Jun 2019,6
20 Jun 2019,12
19 Jun 2019,10
18 Jun 2019,7
17 Jun 2019,11
16 Jun 2019,24
15 Jun 2019,11
14 Jun 2019,17
13 Jun 2019,9
12 Jun 2019,12
11 Jun 2019,13
10 Jun 2019,17
09 Jun 2019,8
08 Jun 2019,13
07 Jun 2019,10
06 Jun 2019,18
05 Jun 2019,17
04 Jun 2019,8
03 Jun 2019,14
02 Jun 2019,12
01 Jun 2019,9
31 May 2019,10
30 May 2019,11
29 May 2019,18
28 May 2019,15
27 May 2019,16
26 May 2019,9
25 May 2019,14
24 May 2019,11
23 May 2019,6
22 May 2019,7
21 May 2019,24
20 May 2019,20
19 May 2019,16
18 May 2019,14
17 May 2019,9
16 May 2019,15
15 May 2019,15
14 May 2019,8
13 May 2019,12
12 May 2019,11
11 May 2019,13
10 May 2019,11
09 May 2019,8
08 May 2019,19
07 May 2019,26
06 May 2019,9
05 May 2019,20
04 May 2019,6
03 May 2019,23
02 May 2019,10
01 May 2019,11
30 Apr 2019,11
29 Apr 2019,12
28 Apr 2019,14
27 Apr 2019,15
26 Apr 2019,15
25 Apr 2019,11
24 Apr 2019,9
23 Apr 2019,10
22 Apr 2019,8
21 Apr 2019,16
20 Apr 2019,7
19 Apr 2019,14
18 Apr 2019,9
17 Apr 2019,8
16 Apr 2019,6
15 Apr 2019,8
14 Apr 2019,12
13 Apr 2019,17
12 Apr 2019,10
11 Apr 2019,14
10 Apr 2019,6
09 Apr 2019,6
08 Apr 2019,10
07 Apr 2019,17
06 Apr 2019,8
05 Apr 2019,11
04 Apr 2019,10
03 Apr 2019,13
02 Apr 2019,13
01 Apr 2019,17
31 Mar 2019,13
30 Mar 2019,12
29 Mar 2019,6
28 Mar 2019,15
27 Mar 2019,6
26 Mar 2019,10
25 Mar 2019,16
24 Mar 2019,14
23 Mar 2019,23
22 Mar 2019,19
21 Mar 2019,6
20 Mar 2019,19
19 Mar 2019,12
18 Mar 2019,6
17 Mar 2019,15
16 Mar 2019,10
15 Mar 2019,24
14 Mar 2019,15
13 Mar 2019,11
12 Mar 2019,11
11 Mar 2019,15
10 Mar 2019,25
09 Mar 2019,15
08 Mar 2019,15
07 Mar 2019,9
06 Mar 2019,8
05 Mar 2019,9
04 Mar 2019,15
03 Mar 2019,18
02 Mar 2019,15
01 Mar 2019,18
28 Feb 2019,18
27 Feb 2019,8
26 Feb 2019,13
25 Feb 2019,19
24 Feb 2019,16
23 Feb 2019,10
22 Feb 2019,20
21 Feb 2019,14
20 Feb 2019,18
19 Feb 2019,19
18 Feb 2019,28
17 Feb 2019,24
16 Feb 2019,14
15 Feb 2019,26
14 Feb 2019,21
13 Feb 2019,14
12 Feb 2019,17
11 Feb 2019,11
10 Feb 2019,17
09 Feb 2019,13
08 Feb 2019,11
07 Feb 2019,12
06 Feb 2019,16
05 Feb 2019,27
04 Feb 2019,16
03 Feb 2019,14
02 Feb 2019,14
01 Feb 2019,12
31 Jan 2019,14
30 Jan 2019,16
29 Jan 2019,15
28 Jan 2019,19
27 Jan 2019,21
26 Jan 2019,10
25 Jan 2019,14
24 Jan 2019,7
23 Jan 2019,14
22 Jan 2019,10
21 Jan 2019,13
20 Jan 2019,17
19 Jan 2019,19
18 Jan 2019,9
17 Jan 2019,17
16 Jan 2019,14
15 Jan 2019,21
14 Jan 2019,16
13 Jan 2019,17
12 Jan 2019,39
11 Jan 2019,21
10 Jan 2019,10
09 Jan 2019,17
08 Jan 2019,14
07 Jan 2019,23
06 Jan 2019,19
05 Jan 2019,16
04 Jan 2019,15
03 Jan 2019,15
02 Jan 2019,17
01 Jan 2019,11
31 Dec 2018,22
30 Dec 2018,13
29 Dec 2018,17
28 Dec 2018,26
27 Dec 2018,12
26 Dec 2018,12
25 Dec 2018,14
24 Dec 2018,18
23 Dec 2018,17
22 Dec 2018,17
21 Dec 2018,22
20 Dec 2018,32
19 Dec 2018,20
18 Dec 2018,24
17 Dec 2018,51
16 Dec 2018,35
15 Dec 2018,30
14 Dec 2018,11
13 Dec 2018,20
12 Dec 2018,14
11 Dec 2018,21
10 Dec 2018,34
09 Dec 2018,39
08 Dec 2018,42
07 Dec 2018,32
06 Dec 2018,34
05 Dec 2018,34
04 Dec 2018,76
03 Dec 2018,50
02 Dec 2018,20
01 Dec 2018,20
30 Nov 2018,12
29 Nov 2018,13
28 Nov 2018,12
27 Nov 2018,9
26 Nov 2018,24
25 Nov 2018,18
24 Nov 2018,16
23 Nov 2018,20
22 Nov 2018,11
21 Nov 2018,8
20 Nov 2018,11
19 Nov 2018,7
18 Nov 2018,18
17 Nov 2018,10
16 Nov 2018,11
15 Nov 2018,19
14 Nov 2018,11
13 Nov 2018,12
12 Nov 2018,8
11 Nov 2018,13
10 Nov 2018,13
09 Nov 2018,15
08 Nov 2018,8
07 Nov 2018,13
06 Nov 2018,10
05 Nov 2018,17
04 Nov 2018,17
03 Nov 2018,9
02 Nov 2018,11
01 Nov 2018,18
31 Oct 2018,33
30 Oct 2018,13
29 Oct 2018,20
28 Oct 2018,19
27 Oct 2018,14
26 Oct 2018,11
25 Oct 2018,16
24 Oct 2018,19
23 Oct 2018,20
22 Oct 2018,11
21 Oct 2018,17
20 Oct 2018,20
19 Oct 2018,15
18 Oct 2018,12
17 Oct 2018,10
16 Oct 2018,18
15 Oct 2018,26
14 Oct 2018,17
13 Oct 2018,16
12 Oct 2018,12
11 Oct 2018,17
10 Oct 2018,18
09 Oct 2018,16
08 Oct 2018,24
07 Oct 2018,23
06 Oct 2018,26
