key,value
Female Inquisitor / Cullen Rutherford,5097
Female Lavellan / Solas,4548
Cullen Rutherford / Female Trevelyan,3392
Iron Bull / Dorian Pavus,2522
Female Inquisitor / Solas,2302
Fenris / Female Hawke,2238
Male Inquisitor / Dorian Pavus,2080
Female Lavellan / Cullen Rutherford,1927
Fenris / Male Hawke,1920
Anders / Male Hawke,1750
Lavellan / Solas,1603
Female Mage Inquisitor / Cullen Rutherford,1532
Anders / Female Hawke,1473
Anders / Fenris,1450
Alistair / Female Warden (Dragon Age),1445
Alistair / Female Cousland,1363
Male Lavellan / Dorian Pavus,1262
Dorian Pavus / Cullen Rutherford,1140
Inquisitor / Cullen Rutherford,1009
Cullen Rutherford / Trevelyan,928
Dorian Pavus / Male Trevelyan,904
Alistair / Warden (Dragon Age),901
Inquisitor / Solas,858
Lavellan / Cullen Rutherford,835
Zevran Arainai / Female Warden,796
Female Hawke / Isabela,711
Female Inquisitor / Iron Bull,676
Anders / Hawke,675
Fenris / Hawke,657
Leliana / Female Warden,607
Inquisitor / Dorian Pavus,606
Cassandra Pentaghast / Varric Tethras,603
Blackwall / Female Inquisitor,595
Lavellan & Solas,580
Female Hawke / Varric Tethras,558
Cullen Rutherford / Female Mage Trevelyan,531
Zevran Arainai / Male Warden,526
Female Mage Lavellan / Solas,518
Alistair / Female Amell,473
Alistair / Cousland,463
Female Inquisitor / Josephine Montilyet,431
Female Hawke / Sebastian Vael,408
Male Inquisitor / Iron Bull,405
Female Inquisitor / Cassandra Pentaghast,386
Female Inquisitor / Sera,383
Minor or Background Relationship(s),373
Female Hawke / Merrill,362
Cullen Rutherford / Original Female Character(s),361
Cullen Rutherford / Original Character(s),349
Female Mage Lavellan / Cullen Rutherford,337
Fenris / Female Mage Hawke,328
Alistair / Female Tabris,323
Iron Bull / Male Lavellan,322
Lavellan / Dorian Pavus,315
Zevran Arainai / Female Tabris,304
Male Inquisitor / Cassandra Pentaghast,289
Isabela / Merrill,274
Iron Bull / Female Trevelyan,269
Fenris / Isabela,268
Female Amell / Cullen Rutherford,263
Zevran Arainai / Male Mahariel,260
Female Rogue Inquisitor / Cullen Rutherford,259
Blackwall / Female Trevelyan,248
Zevran Arainai / Female Mahariel,245
Fen'Harel / Female Lavellan,244
Inquisitor / Iron Bull,238
Iron Bull / Female Lavellan,237
Solas / Original Female Character(s),236
Fenris & Female Hawke,233
Anders / Nathaniel Howe,227
Female Adaar / Sera,218
Carver Hawke / Merrill,217
Female Adaar / Iron Bull,213
Alistair / Zevran Arainai,212
Blackwall / Female Lavellan,211
Anders / Karl Thekla,210
Cassandra Pentaghast / Male Trevelyan,203
Male Inquisitor / Cullen Rutherford,200
Alistair / Cullen Rutherford,195
Donnic Hendyr / Aveline Vallen,190
Male Adaar / Dorian Pavus,187
Alistair / Mahariel,182
Cullen / Female Inquisitor,181
solavellan - Relationship,179
Solas / Female Trevelyan,178
Alistair / Female Surana,178
Female Adaar / Josephine Montilyet,177
Josephine Montilyet / Cassandra Pentaghast,173
Blackwall / Josephine Montilyet,166
Fenris / Male Mage Hawke,165
Blackwall / Inquisitor,163
Fenris / Hawke (Dragon Age),163
Male Hawke / Isabela,162
Josephine Montilyet / Female Trevelyan,161
Dagna / Sera,160
Zevran Arainai / Female Surana,160
Alistair / Female Mahariel,160
Other Relationship Tags to Be Added,159
Female Warrior Inquisitor / Cullen Rutherford,158
Zevran Arainai / Male Cousland,155
Female Cousland / Leliana,153
Dalish (Dragon Age: Inquisition) / Solas,150
Zevran Arainai / Male Surana,149
Alistair / Amell,141
Fen'Harel | Solas / Female Lavellan,140
Alistair / Female Brosca,140
Dorian Pavus / Trevelyan,139
Female Cousland / Nathaniel Howe,139
Alistair / Anora Mac Tir,134
Female Lavellan / Josephine Montilyet,133
OC / OC,132
Anders / Fenris / Male Hawke,131
Female Hawke / Cullen Rutherford,131
Cassandra Pentaghast / Female Trevelyan,131
Zevran Arainai / Warden (Dragon Age),131
Female Lavellan / Sera,129
Cullen Rutherford / Female Surana,129
Warden Alistair / Female Warden,126
Female Mahariel / Tamlen,126
Inquisitor / Cassandra Pentaghast,126
Leliana / Josephine Montilyet,125
Morrigan / Male Warden,125
Female Lavellan / Cassandra Pentaghast,123
Hawke / Varric Tethras,123
Iron Bull / Lavellan,122
Anders / Female Mage Hawke,122
Female Inquisitor & Solas,121
Cullen Rutherford / Female Rogue Trevelyan,120
Zevran Arainai / Male Elf Warden,117
Zevran Arainai / Mahariel,116
Dorian Pavus / Original Male Character(s),115
Amell / Cullen Rutherford,115
Female Amell / Zevran Arainai,115
Alistair / Surana,115
Male Hawke / Merrill,115
Male Lavellan / Solas,114
Blackwall / Female Cadash,113
Fenris / Sebastian Vael,113
Zevran Arainai / Warden,111
Zevran Arainai / Female Cousland,111
Hawke / Merrill,109
Alistair / Morrigan,108
Cole / Inquisitor,108
Anders / Justice,106
Leliana / Morrigan,106
Cullen Rutherford & Female Trevelyan,106
Male Inquisitor / Josephine Montilyet,105
Cullen Rutherford / Female Warden,105
Solas / Original Character(s),103
Alistair / Female Mage Warden,102
Anders / Fenris (Dragon Age),101
Cole / Female Inquisitor,101
Female Adaar / Blackwall,100
Felix Alexius / Carver Hawke,100
