key,value
Female Cousland,2237
Female Warden (Dragon Age),1582
Female Amell,1204
Female Tabris,938
Female Mahariel,882
Female Surana,870
Male Cousland,561
Male Mahariel,559
Warden (Dragon Age),448
Female Brosca,434
Male Warden (Dragon Age),422
Male Surana,383
Female Aeducan,342
Male Amell,288
Female Elf Warden (Dragon Age),246
Cousland,244
Mahariel,208
Male Tabris,203
Surana,180
Amell,148
Tabris,130
Brosca,118
Female Warden,105
Male Brosca,92
Mage Warden (Dragon Age) - Character,79
Amell (Dragon Age),73
Female Human Warden,72
Male Aeducan,72
Female Rogue Cousland,65
Mahariel (Dragon Age),65
Surana (Dragon Age),54
Female Warrior Cousland,47
Female Rogue Tabris,43
Aeducan,38
Female Amell (Dragon Age),32
Brosca (Dragon Age),24
