key,value
Cullen Rutherford,13318
Dorian Pavus,11619
Varric Tethras,11460
Cassandra Pentaghast,7968
Iron Bull,7773
Anders (Dragon Age),7314
Fenris (Dragon Age),7196
Leliana (Dragon Age),7015
Female Lavellan,6344
Female Inquisitor (Dragon Age),6315
Solas,6292
Alistair (Dragon Age),5919
Female Hawke,5851
Josephine Montilyet,5423
Sera (Dragon Age),4679
Male Hawke,4484
Cole (Dragon Age),4318
Isabela (Dragon Age),4313
Zevran Arainai,4269
Female Trevelyan,4057
Merrill (Dragon Age),3407
Vivienne (Dragon Age),2904
Morrigan (Dragon Age),2710
Aveline Vallen,2440
Solas (Dragon Age),2396
Carver Hawke,2369
Hawke (Dragon Age),2238
Female Cousland,2197
Male Inquisitor (Dragon Age),2086
Male Lavellan,2006
Bethany Hawke,1967
Female Warden (Dragon Age),1954
Sebastian Vael,1924
Blackwall,1924
"Cremisius ""Krem"" Aclassi",1895
Blackwall | Thom Rainier,1682
Anders,1638
Lavellan,1559
Male Trevelyan,1520
Fenris,1492
Original Characters,1446
Inquisitor (Dragon Age),1417
Original Female Character(s),1327
Nathaniel Howe,1310
Female Amell,1196
Cullen (Dragon Age),1127
Female Adaar,1014
Fen'Harel | Solas,993
Sten (Dragon Age),988
Leandra Hawke,971
Justice (Dragon Age),970
Female Mage Lavellan,954
Wynne,950
The Iron Bull (Dragon Age),936
Female Tabris,918
Oghren,870
Female Mahariel,866
Leliana,849
Female Surana,845
Female Mage Trevelyan,844
Female Mage Inquisitor,827
Dog (Dragon Age),815
Loghain Mac Tir,801
Original Male Character(s),772
Female Mage Hawke,741
Anora Mac Tir,689
Female Hawke (Dragon Age),687
Female Lavellan (Dragon Age),686
Fen'Harel,612
King Alistair (Dragon Age) - Character,599
Isabela,599
Warden (Dragon Age),597
Duncan (Dragon Age),574
Hawke,574
Male Mahariel,558
Male Cousland,553
Male Warden (Dragon Age),545
Lace Harding,545
Alistair,541
Trevelyan (Dragon Age),537
Warden Alistair (Dragon Age),530
Female Cadash,514
Male Adaar,493
Dagna (Dragon Age),490
Varric,486
Male Hawke (Dragon Age),470
Meredith Stannard,461
Merrill,455
Blackwall (Dragon Age),446
Female Trevelyan (Dragon Age),432
Male Mage Hawke,430
Wynne (Dragon Age),426
Female Brosca,426
Sera,419
Cole,416
Felix Alexius,409
Teagan Guerrin,408
Male Surana,401
Lavellan (Dragon Age),388
Shale (Dragon Age),388
Danarius,387
Fergus Cousland,385
Garrett Hawke,352
Female Inquisitor,346
Flemeth,346
Donnic Hendyr,344
Sigrun (Dragon Age),342
Female Aeducan,341
Abelas,332
Jowan,327
Alistair Theirin,324
Female Rogue Hawke,317
Cullen,315
Morrigan,313
Samson (Dragon Age),310
Female Rogue Inquisitor,308
Malcolm Hawke,300
Raleigh Samson,297
Rylen (Dragon Age),288
Male Amell,286
Dalish (Dragon Age: Inquisition),285
Female Rogue Lavellan,285
Karl Thekla,283
The Iron Bull,280
Halward Pavus,273
Orsino (Dragon Age),272
Velanna,268
Corypheus,268
Kieran (Dragon Age),259
Marian Hawke,254
Sten,252
Bodahn Feddic,249
Oghren (Dragon Age),246
Gereon Alexius,244
Cousland,244
Mythal,244
Eamon Guerrin,243
Female Elf Warden (Dragon Age),238
Fiona (Dragon Age),235
Cailan Theirin,231
Original Character,230
Mage Hawke,219
Tamlen,219
Gamlen Amell,214
Female Amell (Dragon Age),213
Cullen Rutherford's Family,212
Bull's Chargers (Characters),209
Inquisitor,208
OC - Character,207
Mahariel,207
Orana,205
Male Tabris,204
Mage Lavellan,196
Female Cousland (Dragon Age),195
Bull's Chargers - Character,195
Male Lavellan (Dragon Age),193
Mia Rutherford,192
Adaar,192
Irving (Dragon Age),191
Zevran,185
Female Tabris (Dragon Age),180
Dorian (Dragon Age),180
Dorian,180
Surana,178
Bryce Cousland,175
Male Trevelyan (Dragon Age),172
Original Child Character(s),172
Maevaris Tilani,165
Arishok,165
Skinner (Dragon Age),162
The Inquisition (Dragon Age),160
Trevelyan,160
Rendon Howe,159
Male Mage Lavellan,155
Eleanor Cousland,155
Deshanna Istimaethoriel Lavellan,154
Female Surana (Dragon Age),153
Other Character Tags to Be Added,152
Mabari (Dragon Age),150
Ser Pounce-a-Lot,150
Amell,148
Female Mage Warden,148
Bull's Chargers (Dragon Age),147
Female Rogue Trevelyan,147
Justice Anders,147
Female Warrior Hawke,146
Delrin Barris,145
Mage Trevelyan,145
Briala (Dragon Age),143
Aveline,141
Stitches (Dragon Age),139
Female Mage Adaar,139
Greagoir (Dragon Age),138
Maric Theirin,137
Celene Valmont,136
Cullen Rutherford's Mabari,133
Jim (Dragon Age),132
Male Cadash,129
Amell (Dragon Age),129
Male Mage Trevelyan,129
Original Non-Inquisitor Trevelyan(s),128
Original Non-Inquisitor Lavellan(s),128
Female Mahariel (Dragon Age),127
Mahariel (Dragon Age),127
Flemeth (Dragon Age),126
Sandal,126
Tabris,126
Varania,124
Justice - Character,124
Female Adaar (Dragon Age),123
Inquisitor Lavellan,123
Thom Rainier,123
Cassandra,121
Vivienne,121
Rogue Lavellan,120
Cyrion Tabris,120
Ser Cauthrien,119
Clan Lavellan,117
Dragon Age: Inquisition Ensemble,117
Rocky (Dragon Age),117
Brosca,117
Justice!Anders,116
Shianni,115
Male Inquisitor,114
Bianca Davri,114
Female Warden,113
Female Warrior Trevelyan,113
Jowan (Dragon Age),112
Original Elvhen Character(s),112
Dirthamen,111
Connor Guerrin,109
Grim (Dragon Age),108
Gaspard de Chalons,105
Dalish Elf | Elves,105
Saemus Dumar,105
Original Qunari Character(s),104
Calpernia (Dragon Age),104
Reader,103
Dragon Age: Inquisition Companions,103
Andruil,103
Branson Rutherford,102
Dragon Age: Inquisition Inner Circle,101
Male Rogue Hawke,100
Corypheus (Dragon Age),98
Dagna,98
Tabris (Dragon Age),98
Rosalie Rutherford,98
Abelas (Dragon Age),96
Justice Anders (Dragon Age),95
Mabari - Character,95
Falon'Din,95
Mythal (Dragon Age),94
Warden's Mabari (Dragon Age),94
Surana (Dragon Age),94
Original Female Character,93
Evelyn Trevelyan,92
Isolde Guerrin,92
Hadriana,92
Various Characters,91
Male Brosca,91
The Warden,91
Fen'Harel (Dragon Age),90
Jean-Marc Stroud,90
Female Warrior Inquisitor,89
Male Mage Inquisitor,89
Rogue Trevelyan,88
Female Shepard (Mass Effect),88
Theron Mahariel,87
Seneschal Bran,86
Minor Characters,85
Velanna (Dragon Age),84
Original Mage Character(s),84
Shale,84
Male Warrior Trevelyan,83
Mother Giselle,83
Female Cadash (Dragon Age),82
Original Inquisitor Character(s) (Dragon Age),81
Male Rogue Inquisitor,81
Mage Warden (Dragon Age) - Character,81
f!hawke,81
Michel de Chevin,78
Maryden Halewell,78
Isabella,77
Danarius (Dragon Age),77
Cadash,77
Sebastian,76
Trevelyan Family,75
Male Mage Adaar,74
Feynriel,73
Bartrand Tethras,72
Giselle (Dragon Age),72
Dog,72
Bhelen Aeducan,71
The Chargers,71
Female Human Warden,71
Original Elf Character(s),70
Inquisitor Trevelyan,70
Aquinea Thalrassian,70
Dirthamen (Dragon Age),70
Elgar'nan,70
Mage Inquisitor (Dragon Age) - Character,69
Male Aeducan,68
Male Cousland (Dragon Age),67
Josephine,67
Background & Cameo Characters,66
Dragon Age: Inquisition Advisors,65
Female Rogue Cousland,65
Tallis (Dragon Age),64
Divine Victoria,64
Ser Gilmore,64
Adan (Dragon Age),63
Elthina,63
Prince Alistair Theirin,63
Livius Erimond,62
Tamlen (Dragon Age),62
Rica Brosca,62
Male Adaar (Dragon Age),62
Athenril,62
Ashaad,62
Sandal Feddic,61
Finn (Dragon Age),61
Shianni (Dragon Age),61
Bethany,61
Soris,61
Original Grey Warden Character(s),61
Cousland (Dragon Age),60
Duncan,60
Sevarra Amell,59
Solona Amell,59
Elissa Cousland,59
